,aerials_won,age,assists,avg_rating,bad_controls,blocks,clearances,country,crosses,dispossessed,dribbled_past,dribbles,first_eleven,fouled,fouls,goals,height_cm,interceptions,key_passes,long_balls,man_of_the_match,minutes_played,offsides,offsides_won,own_goals,pass_accuracy,passes,player_id,player_name,position,red_cards,shots,substituted_on,tackles,team,through_balls,weight_kg,yellow_cards
3718,0.7,23,0,6.56,1.3,0.1,0.4,tr,0.1,1.6,2.3,1.1,8,0.9,1.7,1,175,1.4,0.4,0.9,0,747,0.0,0.0,0,75.9,27.2,119777,Furkan Soyalp,DMC,0,0.9,6,2.5,Bursaspor,0.1,0,3
3719,0.5,29,0,6.51,0.1,0.0,1.2,tr,0.0,0.0,0.1,0.0,31,0.3,0.0,0,187,0.1,0.0,6.5,0,2790,0.0,0.0,0,51.6,24.6,67613,Harun Tekin,GK,0,0.0,0,0.1,Bursaspor,0.0,78,2
3720,0.3,29,1,6.49,0.6,0.0,0.3,cl,0.3,0.5,0.8,0.9,6,0.3,0.8,0,174,0.4,0.8,1.4,0,575,0.0,0.0,0,85.8,27.7,27283,Cristóbal Jorquera,M(C),0,0.8,6,0.8,Bursaspor,0.1,69,2
3721,0.9,25,5,6.47,2.0,0.0,0.2,tr,0.8,2.0,0.7,1.1,14,1.5,1.2,0,171,0.5,0.8,0.3,0,1466,0.2,0.0,0,73.2,18.6,119526,Yusuf Erdogan,"D(L),M(LR)",0,1.7,11,0.7,Bursaspor,0.0,68,2
3722,0.1,28,1,6.47,1.7,0.0,0.2,cg,0.2,1.3,0.6,1.0,12,0.5,1.0,5,173,0.4,0.7,0.5,1,1117,0.2,0.0,0,70.6,13.3,103797,Dzon Delarge,AM(LR),0,1.0,13,0.9,Bursaspor,0.0,0,2
3723,1.1,27,1,6.43,1.4,0.1,0.5,gh,0.1,0.9,0.3,0.5,18,1.1,1.3,1,173,0.8,0.2,1.5,0,1423,0.2,0.0,0,74.7,27.9,83205,Emmanuel Badu,DMC,0,0.8,1,0.8,Bursaspor,0.0,71,3
3724,0.5,21,0,6.42,0.0,0.5,1.5,tr,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,2.0,0.0,0.5,0,92,0.0,0.0,0,84.0,25.0,333719,Rustu Hanli,Defender,0,0.0,1,0.5,Bursaspor,0.0,0,0
3725,0.4,22,0,6.39,0.8,0.0,0.8,tr,0.2,0.6,0.8,1.2,2,0.8,0.4,0,176,0.6,0.4,0.0,0,180,0.0,0.2,0,70.0,12.0,248103,Emre Tasdemir,"D(L),M(L)",0,0.2,3,0.8,Bursaspor,0.0,0,0
3726,1.0,18,0,6.33,1.0,0.0,2.0,tr,0.0,2.0,2.0,2.0,1,0.0,2.0,0,0,0.0,0.0,0.0,0,90,0.0,0.0,0,70.6,34.0,357423,Burak Kapacak,Defender,0,0.0,0,2.0,Bursaspor,0.0,0,0
3727,1.5,23,0,6.32,0.0,0.0,1.0,tr,0.0,0.0,0.5,0.5,1,1.0,1.0,0,184,1.0,0.5,0.5,0,91,0.0,0.0,0,85.2,27.0,333109,Onur Atasayar,D(L),0,0.5,1,1.0,Bursaspor,0.0,0,0
3728,0.8,30,0,6.31,1.5,0.3,0.8,az,0.3,1.3,0.8,0.0,3,1.8,0.5,0,182,0.8,0.3,0.0,0,247,0.0,0.0,0,63.4,17.8,32480,Deniz Yilmaz,"AM(R),FW",0,1.0,1,1.5,Bursaspor,0.0,78,0
3729,0.9,29,1,6.31,0.8,0.0,0.3,nl,0.3,0.1,0.8,0.8,4,1.0,1.1,0,175,0.5,0.4,0.1,0,315,0.3,0.0,0,71.6,10.1,35953,Joshua John,AM(L),0,0.4,4,0.3,Bursaspor,0.0,63,2
3730,1.5,24,0,6.27,1.1,0.0,0.8,tr,0.0,1.0,0.3,0.8,2,0.5,0.6,0,186,0.4,0.0,0.0,0,317,0.1,0.0,0,72.8,11.5,136302,Sinan Bakis,FW,0,1.3,6,0.6,Bursaspor,0.0,0,0
3731,1.6,21,0,6.25,1.7,0.0,0.2,tr,0.0,0.4,0.3,0.4,2,0.6,0.8,0,190,0.0,0.2,0.0,0,254,0.1,0.0,0,72.5,7.7,302718,Kubilay Kanatsizkus,FW,1,0.6,7,0.2,Bursaspor,0.0,0,1
